"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 16 14:20:31 GMT 2024","Fri Feb 16 14:21:16 GMT 2024","44940","chromium","ui_stoplist_test.spec.ts","UI - Profile Tests","","","Stoplist - Stream Titile",""
"failed","Fri Feb 16 14:23:44 GMT 2024","Fri Feb 16 14:24:50 GMT 2024","65977","chromium","ui_tests.spec.ts","UI Tests","","","Star sand Join Stream",""
"passed","Fri Feb 16 14:18:43 GMT 2024","Fri Feb 16 14:19:24 GMT 2024","41207","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Redeem Cash",""
"passed","Fri Feb 16 14:17:39 GMT 2024","Fri Feb 16 14:18:19 GMT 2024","40712","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Send Gift In Chat",""
"passed","Fri Feb 16 14:15:29 GMT 2024","Fri Feb 16 14:16:40 GMT 2024","70875","chromium","preStream_tests.spec.ts","UI Stream Tests With Two Users","","","Pre Stream - Close Pre Stream",""
"passed","Fri Feb 16 14:15:30 GMT 2024","Fri Feb 16 14:17:31 GMT 2024","121890","chromium","referralProgram_test.spec.ts","UI Referral Program Flow","","","Add My Agent and My Referrals Check",""
"passed","Fri Feb 16 14:21:43 GMT 2024","Fri Feb 16 14:22:07 GMT 2024","23598","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Start Stream",""
"passed","Fri Feb 16 14:15:29 GMT 2024","Fri Feb 16 14:16:43 GMT 2024","73443","chromium","preStream_tests.spec.ts","UI Stream Tests With Two Users","","","All Prestream Elements Loaded",""
"passed","Fri Feb 16 14:15:29 GMT 2024","Fri Feb 16 14:16:22 GMT 2024","52985","chromium","referralProgram_test.spec.ts","UI Referral Program Flow","","","Check Referral Program Page",""
"passed","Fri Feb 16 14:17:36 GMT 2024","Fri Feb 16 14:18:24 GMT 2024","47893","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Send Emoji",""
"passed","Fri Feb 16 14:16:40 GMT 2024","Fri Feb 16 14:17:36 GMT 2024","55552","chromium","ui_chats_test.spec.ts","UI - Chat Tests","","","Chats - Unblock Chat",""
"passed","Fri Feb 16 14:22:16 GMT 2024","Fri Feb 16 14:22:42 GMT 2024","25869","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Edit Profile e2e",""
"passed","Fri Feb 16 14:19:08 GMT 2024","Fri Feb 16 14:20:59 GMT 2024","111089","chromium","strem_test.spec.ts","UI Stream Tests With Two Users","","","Send Gift in Stream",""
"passed","Fri Feb 16 14:20:55 GMT 2024","Fri Feb 16 14:21:31 GMT 2024","36158","chromium","ui_stoplist_test.spec.ts","UI - Profile Tests","","","Stoplist - Stream Chat",""
"passed","Fri Feb 16 14:16:43 GMT 2024","Fri Feb 16 14:17:39 GMT 2024","56100","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Unblock Chat By Followings",""
"passed","Fri Feb 16 14:17:11 GMT 2024","Fri Feb 16 14:18:04 GMT 2024","53320","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Message Validation",""
"passed","Fri Feb 16 14:19:24 GMT 2024","Fri Feb 16 14:20:02 GMT 2024","38037","chromium","ui_search_test.spec.ts","UI - Search Tests","","","Chats - Unblock Chat",""
"passed","Fri Feb 16 14:20:02 GMT 2024","Fri Feb 16 14:20:58 GMT 2024","55994","chromium","ui_stoplist_test.spec.ts","UI - Profile Tests","","","Stoplist - Forbidden Name",""
"passed","Fri Feb 16 14:20:11 GMT 2024","Fri Feb 16 14:20:55 GMT 2024","44338","chromium","ui_chats_test.spec.ts","UI - Chat Tests","","","Chats - Default System Messge",""
"skipped","Fri Feb 16 14:20:31 GMT 2024","Fri Feb 16 14:20:31 GMT 2024","0","chromium","ui_stoplist_test.spec.ts","UI - Profile Tests","","","Stoplist - Forbidden Words in Chat",""
"passed","Fri Feb 16 14:18:24 GMT 2024","Fri Feb 16 14:19:06 GMT 2024","42070","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Edit Profile",""
"passed","Fri Feb 16 14:19:46 GMT 2024","Fri Feb 16 14:20:31 GMT 2024","45428","chromium","ui_search_test.spec.ts","UI - Search Tests","","","Chats - Send Gift From Profile",""
"passed","Fri Feb 16 14:18:16 GMT 2024","Fri Feb 16 14:18:58 GMT 2024","42175","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Buy Coins",""
"passed","Fri Feb 16 14:16:04 GMT 2024","Fri Feb 16 14:17:11 GMT 2024","67006","chromium","preStream_tests.spec.ts","UI Stream Tests With Two Users","","","Pre Stream - Disable Camera",""
"passed","Fri Feb 16 14:17:31 GMT 2024","Fri Feb 16 14:18:16 GMT 2024","44263","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Send Media File",""
"passed","Fri Feb 16 14:19:06 GMT 2024","Fri Feb 16 14:19:46 GMT 2024","39857","chromium","ui_search_test.spec.ts","UI - Search Tests","","","Chats - Search by name",""
"passed","Fri Feb 16 14:18:04 GMT 2024","Fri Feb 16 14:18:43 GMT 2024","38967","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - My Info",""
